oem,model,modelYear,Registration Year,Mileage,Fuel Type,Transmission,ownerNo,price,Gear Box,city,km,Safety,Interior,Exterior,Insurance Validity,bt
23,153,2012,2012.0,20.54,1,1,2,425000.0,5.0,0,100000.0,3.617021276595745,6.470588235294118,3.4615384615384617,2,3
7,30,2019,2019.0,17.4,3,1,1,1070000.0,5.0,0,30000.0,5.74468085106383,5.882352941176471,3.8461538461538463,2,3
6,22,2018,2018.0,15.9,3,1,2,1025000.0,5.0,0,49690.0,5.957446808510639,7.058823529411765,5.769230769230769,2,4
5,16,2009,2009.0,16.0,3,1,1,375000.0,5.0,0,50000.0,4.680851063829787,6.470588235294118,3.076923076923077,2,3
6,22,2018,2018.0,14.8,3,0,1,844000.0,6.0,0,55702.0,6.808510638297872,6.470588235294118,4.615384615384615,0,4
8,55,2016,2016.0,21.19,1,1,1,764000.0,6.0,0,45046.0,4.893617021276596,5.882352941176471,5.0,2,0
13,85,2014,2014.0,18.5,3,1,2,420000.0,5.0,0,53000.0,3.191489361702128,4.705882352941177,2.307692307692308,2,0
13,74,2016,2016.0,27.39,1,1,1,684000.0,5.0,0,94695.0,5.74468085106383,6.470588235294118,4.615384615384615,2,0
13,74,2019,2019.0,21.4,3,1,1,802999.9999999999,5.0,0,22162.0,5.74468085106383,6.470588235294118,4.615384615384615,3,0
8,46,2010,2010.0,17.92,3,1,2,320000.0,5.0,0,70000.0,3.191489361702128,2.941176470588235,1.9230769230769236,2,0
7,30,2017,2018.0,26.0,1,1,1,803999.9999999999,6.0,0,115331.0,4.680851063829787,6.470588235294118,3.4615384615384617,0,3
13,89,2016,2016.0,22.38,3,1,2,548000.0,5.0,0,42233.0,5.319148936170214,3.5294117647058827,2.307692307692308,0,0
8,43,2019,2019.0,18.9,3,1,1,619000.0,5.0,0,20941.0,4.893617021276596,4.705882352941177,4.615384615384615,0,0
13,92,2018,2018.0,24.3,1,1,2,1000000.0,5.0,0,50000.0,5.531914893617022,5.882352941176471,5.384615384615384,2,4
7,35,2018,2018.0,17.5,3,1,1,865000.0,5.0,0,46602.0,5.74468085106383,6.470588235294118,5.384615384615384,0,4
13,89,2014,2014.0,25.2,1,1,2,535000.0,5.0,0,104000.0,4.255319148936171,5.294117647058824,3.076923076923077,0,0
6,22,2018,2018.0,23.0,1,1,1,975000.0,5.0,0,90000.0,7.021276595744681,6.470588235294118,4.615384615384615,0,4
13,74,2017,2017.0,21.4,3,1,1,699000.0,5.0,0,50035.0,5.531914893617022,6.470588235294118,4.615384615384615,2,0
21,131,2021,2021.0,17.57,3,1,1,1150000.0,6.0,0,80000.0,5.319148936170214,7.058823529411765,5.0,2,4
8,54,2015,2015.0,18.6,3,1,2,625000.0,5.0,0,90000.0,4.468085106382979,5.294117647058824,3.4615384615384617,0,0
22,138,2011,2011.0,21.43,1,1,1,600000.0,6.0,0,120000.0,2.978723404255319,4.11764705882353,2.6923076923076925,2,3
13,90,2015,2015.0,22.41,3,1,1,675000.0,5.0,0,25170.0,4.893617021276596,6.470588235294118,3.8461538461538463,2,3
13,79,2021,2021.0,20.65,3,1,1,893000.0,5.0,0,25022.0,4.468085106382979,4.11764705882353,3.4615384615384617,0,3
13,89,2012,2012.0,22.9,1,1,2,420000.0,5.0,0,100000.0,2.978723404255319,4.705882352941177,2.6923076923076925,2,0
13,79,2020,2020.0,20.65,3,1,1,941000.0,5.0,0,26367.0,4.468085106382979,4.11764705882353,3.4615384615384617,3,3
8,41,2015,2015.0,14.5,3,0,2,630000.0,6.0,0,76567.0,5.531914893617022,5.882352941176471,3.076923076923077,3,3
8,43,2015,2015.0,18.9,3,0,2,525000.0,4.0,0,36459.0,3.404255319148936,5.882352941176471,5.0,0,0
